CustomerID,TotalOrders,TotalQuantity,TotalSpending,AvgOrderValue,AvgItemsInCart,Cluster
C17181,1,5,2276.65,2276.65,8.0,1
C17269,1,4,1733.8,1733.8,4.0,1
C17302,1,1,359.99,359.99,5.0,0
C17388,1,1,317.25,317.25,1.0,0
C17389,1,1,522.08,522.08,5.0,0
C17470,1,2,461.9,461.9,3.0,0
C17551,1,1,518.39,518.39,4.0,0
C17591,1,1,479.76,479.76,1.0,0
C17921,1,4,1210.6,1210.6,8.0,1
C17966,1,2,185.74,185.74,5.0,0
C18037,1,2,140.68,140.68,3.0,0
C18076,1,3,1766.22,1766.22,8.0,1
C18104,1,5,635.9000000000001,635.9000000000001,9.0,1
C18105,1,4,2332.08,2332.08,4.0,1
C18138,1,3,1618.38,1618.38,4.0,1
C18167,1,4,887.84,887.84,7.0,0
C18169,1,2,929.84,929.84,2.0,0
C18187,1,1,605.28,605.28,3.0,0
C18353,1,3,1299.99,1299.99,4.0,0
C18404,1,5,3370.2,3370.2,7.0,1
C18473,1,2,840.58,840.58,3.0,0
C18567,1,4,365.84,365.84,9.0,0
C18583,1,5,1822.1,1822.1,10.0,1
C18717,1,5,2793.15,2793.15,8.0,1
C18724,1,1,616.1,616.1,6.0,0
C18820,1,5,2573.0,2573.0,10.0,1
C18826,1,3,1443.3,1443.3,3.0,0
C18944,1,4,1575.2,1575.2,7.0,1
C18984,1,3,1767.9,1767.9,6.0,1
C19071,1,3,1352.94,1352.94,8.0,1
C19266,1,3,442.17,442.17,3.0,0
C19368,1,2,646.44,646.44,7.0,0
C19384,1,4,351.16,351.16,6.0,0
C19402,1,4,1204.68,1204.68,6.0,1
C19439,1,1,440.34,440.34,2.0,0
C19451,1,4,2357.76,2357.76,5.0,1
C19648,1,4,2673.44,2673.44,5.0,1
C19722,1,1,596.24,596.24,4.0,0
C19742,1,1,332.09,332.09,5.0,0
C19759,1,2,1176.6,1176.6,2.0,0
C19937,1,1,438.34,438.34,5.0,0
C20077,1,4,2372.88,2372.88,8.0,1
C20095,1,2,1325.06,1325.06,5.0,0
C20124,1,2,177.46,177.46,5.0,0
C20212,1,3,1834.35,1834.35,4.0,1
C20256,1,3,1616.22,1616.22,6.0,1
C20257,1,5,1343.9,1343.9,7.0,1
C20286,1,1,571.9,571.9,1.0,0
C20338,1,1,370.85,370.85,2.0,0
C20357,1,3,2077.32,2077.32,8.0,1
C20448,1,2,296.44,296.44,7.0,0
C20512,1,4,2763.12,2763.12,9.0,1
C20624,1,1,479.56,479.56,1.0,0
C20643,1,4,2011.96,2011.96,4.0,1
C20670,1,2,935.82,935.82,5.0,0
C20731,1,4,1777.76,1777.76,8.0,1
C20752,1,1,572.13,572.13,4.0,0
C20817,1,5,3078.35,3078.35,6.0,1
C20861,1,5,2441.75,2441.75,9.0,1
C20881,1,2,1288.1,1288.1,5.0,0
C20977,1,4,1740.48,1740.48,9.0,1
C21043,1,1,694.5,694.5,3.0,0
C21126,1,1,107.04,107.04,6.0,0
C21147,1,1,335.1,335.1,6.0,0
C21167,1,4,2235.6,2235.6,9.0,1
C21181,1,2,1350.2,1350.2,4.0,0
C21191,2,3,647.77,323.885,2.0,2
C21227,1,1,590.87,590.87,6.0,0
C21437,1,1,222.73,222.73,4.0,0
C21665,1,4,1700.72,1700.72,8.0,1
C21905,1,1,298.06,298.06,3.0,0
C21944,1,5,297.75,297.75,6.0,0
C21953,1,2,250.46,250.46,3.0,0
C22101,1,2,265.2,265.2,4.0,0
C22123,1,1,672.89,672.89,1.0,0
C22167,1,5,2178.3,2178.3,9.0,1
C22429,1,4,604.8,604.8,9.0,0
C22534,1,1,529.19,529.19,5.0,0
C22657,1,3,1901.91,1901.91,7.0,1
C22783,1,4,2771.64,2771.64,9.0,1
C22919,1,1,195.86,195.86,3.0,0
C22981,1,3,472.2,472.2,7.0,0
C22991,1,1,252.68,252.68,1.0,0
C23279,1,2,87.34,87.34,4.0,0
C23334,1,1,331.06,331.06,5.0,0
C23405,1,4,2780.4,2780.4,8.0,1
C23555,1,4,1633.44,1633.44,4.0,1
C23637,1,1,553.56,553.56,5.0,0
C23899,1,5,1358.45,1358.45,7.0,1
C23917,1,1,127.55,127.55,3.0,0
C23947,1,1,120.98,120.98,6.0,0
C23978,1,1,576.35,576.35,1.0,0
C24047,1,4,937.8,937.8,9.0,1
C24212,1,3,322.08,322.08,5.0,0
C24301,1,2,1284.08,1284.08,4.0,0
C24347,1,2,646.9,646.9,5.0,0
C24369,1,3,1079.19,1079.19,7.0,0
C24751,1,5,2506.3,2506.3,10.0,1
C24765,1,2,719.72,719.72,4.0,0
C24769,1,2,57.1,57.1,7.0,0
C24884,1,1,260.26,260.26,5.0,0
C24901,1,3,299.7,299.7,8.0,0
C25110,1,2,126.42,126.42,4.0,0
C25123,1,1,629.21,629.21,2.0,0
C25149,1,4,1054.48,1054.48,5.0,0
C25162,1,2,688.36,688.36,7.0,0
C25268,1,1,665.11,665.11,3.0,0
C25276,1,5,3313.9,3313.9,9.0,1
C25316,1,2,79.06,79.06,3.0,0
C25382,1,5,454.35,454.35,5.0,0
C25406,1,1,161.24,161.24,3.0,0
C25445,1,5,658.5,658.5,8.0,1
C25503,1,2,211.14,211.14,5.0,0
C25534,1,5,984.2,984.2,5.0,1
C25580,1,4,1563.36,1563.36,9.0,1
C25587,1,4,48.4,48.4,8.0,0
C25783,1,5,1253.4,1253.4,8.0,1
C25841,1,3,904.6500000000001,904.6500000000001,5.0,0
C25918,1,5,666.9499999999999,666.9499999999999,6.0,0
C25967,1,5,1709.8,1709.8,6.0,1
C26118,1,2,144.78,144.78,7.0,0
C26137,1,2,856.18,856.18,6.0,0
C26152,1,2,972.7,972.7,6.0,0
C26163,1,5,625.1,625.1,9.0,1
C26188,1,1,618.68,618.68,6.0,0
C26210,1,3,1334.25,1334.25,6.0,1
C26223,1,1,657.07,657.07,4.0,0
C26340,1,2,369.2,369.2,7.0,0
C26364,1,4,1314.24,1314.24,4.0,1
C26445,1,3,1500.24,1500.24,6.0,1
C26637,1,5,869.8000000000001,869.8000000000001,8.0,1
C26718,1,4,1052.36,1052.36,8.0,1
C26767,1,1,303.6,303.6,5.0,0
C26817,1,2,268.56,268.56,2.0,0
C26966,1,5,1872.9,1872.9,10.0,1
C27070,1,4,2612.52,2612.52,8.0,1
C27072,1,3,463.11,463.11,4.0,0
C27078,1,5,1181.9,1181.9,7.0,1
C27202,1,5,3267.35,3267.35,10.0,1
C27203,1,5,1040.85,1040.85,6.0,1
C27305,1,2,1390.58,1390.58,6.0,0
C27401,1,3,1619.73,1619.73,8.0,1
C27430,1,5,474.25,474.25,6.0,0
C27435,1,5,2104.9,2104.9,7.0,1
C27438,1,1,70.32,70.32,4.0,0
C27613,1,4,2462.6,2462.6,9.0,1
C27898,1,5,2513.55,2513.55,7.0,1
C28049,1,2,1293.38,1293.38,7.0,0
C28152,1,3,1714.59,1714.59,6.0,1
C28386,1,1,277.09,277.09,2.0,0
C28406,1,1,23.53,23.53,2.0,0
C28552,1,2,29.86,29.86,4.0,0
C28648,1,4,1895.44,1895.44,7.0,1
C28712,1,2,303.32,303.32,6.0,0
C28740,1,3,1670.97,1670.97,4.0,1
C28828,1,3,395.88,395.88,8.0,0
C28889,1,3,258.87,258.87,6.0,0
C28893,1,1,620.21,620.21,1.0,0
C28976,1,2,1067.62,1067.62,3.0,0
C29041,1,3,1768.68,1768.68,6.0,1
C29059,1,3,1503.9,1503.9,3.0,0
C29063,1,5,478.75,478.75,8.0,0
C29072,1,2,687.98,687.98,4.0,0
C29092,1,4,60.04,60.04,6.0,0
C29314,1,2,788.6,788.6,6.0,0
C29318,1,1,24.48,24.48,1.0,0
C29405,1,2,448.74,448.74,3.0,0
C29416,1,1,150.17,150.17,1.0,0
C29432,1,3,1406.22,1406.22,4.0,0
C29467,1,1,191.76,191.76,1.0,0
C29483,1,4,1222.88,1222.88,5.0,1
C29568,1,4,194.44,194.44,7.0,0
C29620,1,1,460.13,460.13,1.0,0
C29685,1,5,1923.45,1923.45,6.0,1
C29697,1,1,401.82,401.82,5.0,0
C29701,1,3,61.62,61.62,3.0,0
C29703,1,4,2790.0,2790.0,7.0,1
C29758,1,2,798.64,798.64,6.0,0
C29844,1,2,877.24,877.24,3.0,0
C29885,1,3,568.3199999999999,568.3199999999999,4.0,0
C29905,1,2,1067.9,1067.9,5.0,0
C29914,1,1,133.39,133.39,2.0,0
C29931,1,4,612.36,612.36,4.0,0
C30010,1,3,382.23,382.23,7.0,0
C30168,1,3,933.99,933.99,3.0,0
C30184,1,1,427.06,427.06,1.0,0
C30334,1,2,267.1,267.1,7.0,0
C30411,1,4,2551.16,2551.16,9.0,1
C30477,1,1,201.58,201.58,2.0,0
C30513,1,1,586.44,586.44,5.0,0
C30643,1,3,918.8700000000001,918.8700000000001,7.0,0
C30686,1,4,1614.32,1614.32,9.0,1
C30711,1,1,278.66,278.66,2.0,0
C30722,1,5,1333.9,1333.9,5.0,1
C30923,1,1,654.27,654.27,2.0,0
C30955,1,4,167.6,167.6,9.0,0
C31072,1,4,916.4,916.4,8.0,1
C31105,1,1,583.99,583.99,2.0,0
C31371,1,2,507.36,507.36,6.0,0
C31412,1,4,2042.32,2042.32,7.0,1
C31501,1,3,1764.15,1764.15,8.0,1
C31668,1,5,569.35,569.35,6.0,0
C31761,1,4,2600.16,2600.16,6.0,1
C31764,1,1,655.09,655.09,6.0,0
C31772,1,1,693.41,693.41,4.0,0
C31810,1,1,178.44,178.44,2.0,0
C31946,1,4,2037.52,2037.52,6.0,1
C32011,1,1,628.89,628.89,2.0,0
C32029,1,4,701.44,701.44,4.0,0
C32121,1,4,795.24,795.24,9.0,1
C32183,1,3,1985.67,1985.67,6.0,1
C32347,1,1,249.81,249.81,1.0,0
C32570,1,1,11.39,11.39,6.0,0
C32580,1,5,1874.95,1874.95,9.0,1
C32650,1,2,1210.52,1210.52,4.0,0
C32687,1,2,852.44,852.44,7.0,0
C32798,1,2,993.24,993.24,2.0,0
C32854,1,1,65.45,65.45,2.0,0
C32943,1,2,824.28,824.28,2.0,0
C32956,1,5,2715.8,2715.8,6.0,1
C32960,1,5,2223.8,2223.8,7.0,1
C33051,1,2,883.08,883.08,2.0,0
C33099,1,5,241.9,241.9,9.0,0
C33110,1,3,1584.42,1584.42,3.0,0
C33220,1,4,1852.16,1852.16,9.0,1
C33260,1,3,1270.59,1270.59,6.0,1
C33313,1,3,1738.65,1738.65,8.0,1
C33315,1,3,1687.65,1687.65,6.0,1
C33540,1,1,273.19,273.19,5.0,0
C33634,1,4,2355.4,2355.4,7.0,1
C33729,1,3,1978.71,1978.71,6.0,1
C33744,1,4,2307.48,2307.48,5.0,1
C33802,1,1,604.87,604.87,4.0,0
C34134,1,1,254.12,254.12,1.0,0
C34266,1,4,2519.52,2519.52,8.0,1
C34337,1,5,950.5500000000001,950.5500000000001,7.0,1
C34416,1,2,99.24,99.24,2.0,0
C34555,1,1,372.8,372.8,6.0,0
C34686,1,1,68.39,68.39,3.0,0
C35043,1,5,132.15,132.15,5.0,0
C35091,1,1,211.14,211.14,1.0,0
C35100,1,2,639.82,639.82,3.0,0
C35117,1,2,1395.86,1395.86,2.0,0
C35123,1,4,1546.92,1546.92,4.0,1
C35136,1,1,634.94,634.94,5.0,0
C35168,1,2,1199.72,1199.72,7.0,0
C35355,1,4,1327.6,1327.6,5.0,1
C35377,1,5,3119.05,3119.05,6.0,1
C35397,1,5,331.55,331.55,7.0,0
C35483,1,3,671.0999999999999,671.0999999999999,3.0,0
C35566,1,4,258.76,258.76,7.0,0
C35628,1,3,1660.71,1660.71,4.0,1
C35669,1,5,2894.15,2894.15,6.0,1
C35711,1,4,1308.48,1308.48,4.0,1
C35785,1,1,427.82,427.82,2.0,0
C35852,2,7,1248.39,624.195,5.5,2
C35854,1,5,939.85,939.85,9.0,1
C35983,1,5,3137.15,3137.15,10.0,1
C35987,1,5,3267.3,3267.3,9.0,1
C36014,1,2,869.94,869.94,7.0,0
C36137,1,3,717.24,717.24,8.0,0
C36150,1,2,1069.82,1069.82,5.0,0
C36174,1,3,926.94,926.94,3.0,0
C36383,1,5,2107.2,2107.2,5.0,1
C36408,1,5,3075.5,3075.5,10.0,1
C36467,1,1,75.78,75.78,5.0,0
C36492,1,1,45.94,45.94,2.0,0
C36497,1,2,86.3,86.3,3.0,0
C36534,1,3,1963.62,1963.62,7.0,1
C36540,1,4,728.32,728.32,4.0,0
C36613,1,3,1894.92,1894.92,3.0,1
C36688,1,1,305.17,305.17,3.0,0
C36725,1,5,3253.6,3253.6,8.0,1
C36778,1,1,388.33,388.33,2.0,0
C36813,1,3,1842.45,1842.45,3.0,1
C36825,1,2,877.52,877.52,2.0,0
C36938,1,3,761.9399999999999,761.9399999999999,3.0,0
C36992,1,3,671.37,671.37,3.0,0
C36997,1,4,745.64,745.64,6.0,0
C37032,1,2,847.76,847.76,7.0,0
C37235,1,4,151.04,151.04,7.0,0
C37249,1,2,491.72,491.72,4.0,0
C37375,1,2,1036.46,1036.46,5.0,0
C37412,1,1,432.47,432.47,4.0,0
C37454,1,3,1303.35,1303.35,4.0,0
C37455,1,5,2380.05,2380.05,7.0,1
C37531,1,5,1349.3,1349.3,6.0,1
C37594,1,4,1361.2,1361.2,8.0,1
C37969,1,3,362.46,362.46,5.0,0
C38024,1,2,546.86,546.86,7.0,0
C38065,1,3,1178.55,1178.55,6.0,0
C38068,1,5,1302.65,1302.65,5.0,1
C38126,1,4,2060.76,2060.76,9.0,1
C38134,1,2,419.88,419.88,3.0,0
C38262,1,1,155.27,155.27,6.0,0
C38557,1,3,1915.5,1915.5,4.0,1
C38642,1,5,1046.0,1046.0,6.0,1
C38669,1,4,405.28,405.28,7.0,0
C38785,1,2,361.0,361.0,6.0,0
C38840,2,9,5723.23,2861.615,7.0,2
C38845,1,1,532.89,532.89,2.0,0
C38928,1,4,1671.56,1671.56,4.0,1
C38966,1,5,2021.95,2021.95,10.0,1
C39000,1,1,287.46,287.46,3.0,0
C39017,1,3,994.3799999999999,994.3799999999999,6.0,0
C39074,1,5,3032.6,3032.6,6.0,1
C39106,1,1,546.19,546.19,5.0,0
C39130,1,5,226.55,226.55,8.0,0
C39176,1,4,1737.68,1737.68,6.0,1
C39246,1,5,931.4,931.4,8.0,1
C39256,1,1,417.1,417.1,3.0,0
C39260,1,2,427.66,427.66,2.0,0
C39416,1,1,473.96,473.96,3.0,0
C39530,1,3,1704.15,1704.15,6.0,1
C39550,1,1,558.27,558.27,1.0,0
C39551,1,1,76.93,76.93,6.0,0
C39593,1,3,2078.13,2078.13,3.0,1
C39638,1,4,2161.32,2161.32,6.0,1
C39639,1,1,65.95,65.95,5.0,0
C39648,1,1,465.33,465.33,2.0,0
C39664,1,5,946.25,946.25,10.0,1
C39671,1,1,217.56,217.56,3.0,0
C39791,1,2,597.06,597.06,5.0,0
C39906,1,1,75.01,75.01,3.0,0
C39911,1,4,2073.6,2073.6,7.0,1
C40136,1,3,1039.56,1039.56,3.0,0
C40140,1,5,363.2,363.2,7.0,0
C40201,1,2,185.82,185.82,3.0,0
C40304,1,4,479.36,479.36,8.0,0
C40427,1,1,613.98,613.98,4.0,0
C40466,1,1,541.64,541.64,5.0,0
C40538,1,2,423.64,423.64,4.0,0
C40648,1,2,603.76,603.76,5.0,0
C40771,1,4,697.96,697.96,5.0,0
C40798,1,3,1081.98,1081.98,5.0,0
C40863,1,3,489.39,489.39,5.0,0
C40882,1,4,868.52,868.52,8.0,1
C40949,1,2,1105.26,1105.26,7.0,0
C40967,1,5,287.25,287.25,10.0,0
C41132,1,1,381.61,381.61,5.0,0
C41137,1,3,1347.39,1347.39,5.0,0
C41284,1,4,737.92,737.92,4.0,0
C41320,1,3,1709.52,1709.52,8.0,1
C41331,1,5,1203.05,1203.05,10.0,1
C41460,1,5,747.75,747.75,9.0,1
C41478,1,4,2138.28,2138.28,6.0,1
C41508,1,4,429.96,429.96,5.0,0
C41598,1,3,1472.76,1472.76,5.0,1
C41709,1,2,712.7,712.7,6.0,0
C41903,1,3,160.8,160.8,4.0,0
C41974,1,3,2099.79,2099.79,7.0,1
C42108,1,2,641.36,641.36,5.0,0
C42235,1,4,1193.44,1193.44,8.0,1
C42270,1,2,482.98,482.98,7.0,0
C42306,1,3,612.8100000000001,612.8100000000001,4.0,0
C42365,1,1,214.08,214.08,2.0,0
C42372,1,4,1093.0,1093.0,5.0,0
C42451,1,5,665.05,665.05,10.0,1
C42577,1,1,399.98,399.98,3.0,0
C42949,1,1,660.66,660.66,3.0,0
C43124,1,4,2773.44,2773.44,8.0,1
C43212,1,4,2200.56,2200.56,4.0,1
C43249,1,3,1391.43,1391.43,8.0,1
C43330,1,3,580.47,580.47,6.0,0
C43335,1,2,548.24,548.24,6.0,0
C43338,1,3,1435.95,1435.95,4.0,0
C43443,1,5,3129.85,3129.85,9.0,1
C43524,1,5,2621.3,2621.3,5.0,1
C43538,1,3,1290.18,1290.18,8.0,1
C43545,1,5,1876.25,1876.25,9.0,1
C43546,1,3,485.91,485.91,4.0,0
C43595,1,5,2807.4,2807.4,9.0,1
C43721,1,1,131.61,131.61,2.0,0
C43842,1,2,1303.14,1303.14,7.0,0
C43867,1,1,524.06,524.06,3.0,0
C43911,1,4,1674.84,1674.84,8.0,1
C43919,1,3,1804.8,1804.8,7.0,1
C43965,1,2,359.92,359.92,5.0,0
C44148,1,4,1505.72,1505.72,5.0,1
C44176,1,1,77.64,77.64,1.0,0
C44267,1,2,853.4,853.4,5.0,0
C44277,1,1,458.63,458.63,4.0,0
C44366,1,2,776.44,776.44,2.0,0
C44492,1,5,277.05,277.05,5.0,0
C44619,1,3,475.11,475.11,6.0,0
C44674,1,1,627.34,627.34,1.0,0
C44733,1,1,87.06,87.06,4.0,0
C44778,1,1,153.0,153.0,4.0,0
C45104,1,1,687.89,687.89,1.0,0
C45175,1,1,70.82,70.82,1.0,0
C45187,1,5,420.65,420.65,9.0,0
C45482,1,2,198.2,198.2,6.0,0
C45599,1,5,2379.75,2379.75,8.0,1
C45671,1,2,1314.96,1314.96,5.0,0
C45862,1,1,176.1,176.1,1.0,0
C45899,1,2,1285.96,1285.96,7.0,0
C46015,1,5,1812.3,1812.3,6.0,1
C46210,1,3,1286.64,1286.64,3.0,0
C46316,1,2,930.36,930.36,2.0,0
C46504,1,2,745.84,745.84,7.0,0
C46509,1,2,1174.98,1174.98,6.0,0
C46557,1,2,237.18,237.18,2.0,0
C46651,2,5,1360.8899999999999,680.4449999999999,5.0,2
C46873,1,4,1965.16,1965.16,6.0,1
C46877,1,1,210.7,210.7,2.0,0
C46886,1,3,1849.17,1849.17,6.0,1
C46920,1,2,1362.12,1362.12,3.0,0
C46967,1,2,1026.84,1026.84,5.0,0
C47022,1,3,500.97,500.97,8.0,0
C47086,1,4,609.16,609.16,6.0,0
C47283,1,1,263.96,263.96,2.0,0
C47284,1,3,893.01,893.01,6.0,0
C47307,1,2,1202.86,1202.86,5.0,0
C47365,1,2,82.0,82.0,7.0,0
C47486,1,1,320.92,320.92,5.0,0
C47761,1,4,1165.4,1165.4,6.0,1
C47778,1,5,3334.0,3334.0,7.0,1
C47823,1,2,956.72,956.72,3.0,0
C48120,1,1,280.25,280.25,5.0,0
C48176,1,4,1736.92,1736.92,8.0,1
C48207,1,2,833.62,833.62,2.0,0
C48453,1,5,3194.0,3194.0,10.0,1
C48510,1,2,1042.8,1042.8,7.0,0
C48531,1,1,30.54,30.54,1.0,0
C48577,1,4,1640.84,1640.84,5.0,1
C48601,1,1,414.47,414.47,3.0,0
C48646,1,5,1159.1,1159.1,6.0,1
C48649,1,3,204.36,204.36,3.0,0
C48713,1,5,159.8,159.8,5.0,0
C48790,1,5,107.7,107.7,10.0,0
C48846,1,2,904.1,904.1,3.0,0
C48939,1,5,2147.25,2147.25,5.0,1
C48942,1,4,2654.68,2654.68,7.0,1
C48946,1,5,309.85,309.85,6.0,0
C48965,1,1,299.35,299.35,5.0,0
C49009,1,5,537.4,537.4,9.0,1
C49111,1,3,1510.17,1510.17,5.0,1
C49137,1,2,598.46,598.46,2.0,0
C49187,1,1,535.5,535.5,5.0,0
C49198,1,3,1940.37,1940.37,5.0,1
C49282,1,5,253.7,253.7,7.0,0
C49491,1,5,114.7,114.7,10.0,0
C49517,1,1,594.96,594.96,6.0,0
C49605,1,2,457.82,457.82,4.0,0
C49710,1,4,1637.12,1637.12,8.0,1
C49720,1,3,391.83,391.83,4.0,0
C49726,1,1,17.98,17.98,6.0,0
C49831,1,3,1474.29,1474.29,6.0,1
C49838,1,2,1105.66,1105.66,3.0,0
C49938,1,1,62.12,62.12,2.0,0
C49995,1,4,984.44,984.44,4.0,0
C50087,1,3,366.33,366.33,4.0,0
C50097,1,5,2339.05,2339.05,10.0,1
C50114,1,2,98.16,98.16,7.0,0
C50121,1,1,583.18,583.18,5.0,0
C50137,1,3,59.19,59.19,3.0,0
C50159,1,3,667.02,667.02,5.0,0
C50211,1,2,53.0,53.0,3.0,0
C50236,1,4,2463.32,2463.32,4.0,1
C50274,1,3,1528.26,1528.26,5.0,1
C50275,1,5,269.65,269.65,7.0,0
C50304,1,2,930.3,930.3,2.0,0
C50415,1,5,2830.35,2830.35,6.0,1
C50422,1,2,1129.16,1129.16,4.0,0
C50565,1,1,411.34,411.34,5.0,0
C50612,1,4,226.64,226.64,4.0,0
C50682,1,2,501.96,501.96,5.0,0
C50683,1,2,576.42,576.42,5.0,0
C50732,1,4,590.04,590.04,4.0,0
C50967,1,2,364.8,364.8,5.0,0
C51024,1,1,489.8,489.8,4.0,0
C51145,1,4,2403.24,2403.24,9.0,1
C51157,1,3,1778.61,1778.61,3.0,1
C51404,1,2,378.12,378.12,7.0,0
C51481,1,5,1244.2,1244.2,10.0,1
C51494,1,2,977.74,977.74,4.0,0
C51694,1,2,1361.7,1361.7,6.0,0
C51811,1,3,1335.36,1335.36,8.0,1
C51898,1,4,898.44,898.44,6.0,0
C51921,1,3,1318.59,1318.59,5.0,0
C52184,1,1,162.77,162.77,4.0,0
C52313,1,2,836.52,836.52,2.0,0
C52342,1,5,369.15,369.15,9.0,0
C52604,1,5,506.5,506.5,7.0,0
C52717,1,5,2756.35,2756.35,7.0,1
C52751,1,4,1055.72,1055.72,4.0,0
C52879,1,5,3194.6,3194.6,5.0,1
C52914,1,4,839.96,839.96,8.0,1
C52915,1,2,657.08,657.08,6.0,0
C53049,1,2,1126.12,1126.12,6.0,0
C53070,1,4,2048.24,2048.24,5.0,1
C53215,1,1,265.38,265.38,6.0,0
C53252,1,4,570.32,570.32,4.0,0
C53277,1,3,1595.16,1595.16,7.0,1
C53334,1,3,1496.04,1496.04,4.0,0
C53464,1,5,3299.25,3299.25,9.0,1
C53488,1,3,410.52,410.52,3.0,0
C53501,1,1,249.57,249.57,3.0,0
C53545,1,3,1084.17,1084.17,8.0,1
C53627,1,5,1527.45,1527.45,10.0,1
